"id","gender","age","attnpassed","state1","state2","response"
3,2,49,1,"Embarrassment","Anger",26
3,2,49,1,"Fear","Anger",78
3,2,49,1,"Disgust","Anger",75
3,2,49,1,"Guilt","Anger",28
3,2,49,1,"Offense","Anger",70
3,2,49,1,"Contempt","Anger",24
3,2,49,1,"Anxiety","Anger",100
3,2,49,1,"Alertness","Anger",50
3,2,49,1,"Amusement","Anger",90
3,2,49,1,"Awe","Anger",77
3,2,49,1,"Satisfaction","Anger",24
3,2,49,1,"Joy","Anger",15
3,2,49,1,"Gratitude","Anger",23
3,2,49,1,"Hope","Anger",77
3,2,49,1,"Love","Anger",76
3,2,49,1,"Pride","Anger",29
3,2,49,1,"Anger","Sadness",50
3,2,49,1,"Sadness","Sadness",64
3,2,49,1,"Embarrassment","Sadness",23
3,2,49,1,"Fear","Sadness",25
3,2,49,1,"Disgust","Sadness",76
3,2,49,1,"Guilt","Sadness",25
